doc_type,<vuoto>,Affari Generali,Ambiente,Commercio,Contabilità,Contenzioso,Cultura e Turismo,Lavori Pubblici,Personale,Pubblicazione e Trasparenza,Regolamenti,Servizi Demografici,Servizi Sociali,Urbanistica
AttestazionePubblicazione,0,0,0,2,4,11,0,0,3,24,22,1,1,0
Avviso,2,0,0,0,4,0,1,1,4,0,4,7,2,0
Bando,1,1,0,0,0,0,0,0,0,0,2,0,0,2
Decreto,1,1,4,0,22,9,1,0,6,0,5,2,1,0
Delibera,11,1,2,2,15,12,4,4,5,6,39,3,13,0
Determinazione,4,6,15,0,127,8,4,8,14,0,22,7,3,0
Elenco,0,0,0,0,6,0,0,0,0,0,0,2,0,0
Ordinanza,0,4,4,0,2,13,0,0,0,0,0,0,0,0
VistoContabile,0,0,0,0,216,1,0,0,1,0,0,0,0,0
unknown,12,0,0,0,4,1,0,0,0,0,2,1,4,0
